InQuestion(952,4842) => HasLabel(4842,0) 0.0 0
InQuestion(952,4842) => HasLabel(4842,1) *** 2.0 1
InQuestion(952,4843) => HasLabel(4843,0) 0.8221920728683472 2
InQuestion(952,4843) => HasLabel(4843,1) *** 1.1778079271316528 3
InQuestion(952,4844) => HasLabel(4844,0) *** 1.9820721130818129 4
InQuestion(952,4844) => HasLabel(4844,1) 0.01792788691818714 5
InQuestion(952,4845) => HasLabel(4845,0) *** 1.9483339674770832 6
InQuestion(952,4845) => HasLabel(4845,1) 0.051666032522916794 7
InQuestion(952,4846) => HasLabel(4846,0) 1.0013580322265625e-05 8
InQuestion(952,4846) => HasLabel(4846,1) *** 1.9999899864196777 9
InQuestion(952,4847) => HasLabel(4847,0) *** 1.9999815119190316 10
InQuestion(952,4847) => HasLabel(4847,1) 1.8488080968381837e-05 11
InQuestion(952,4842) & InQuestion(952,4842) => Entail(4842,4842) 1.0 12
InQuestion(952,4842) & InQuestion(952,4843) => Entail(4842,4843) 0.0 14
InQuestion(952,4842) & InQuestion(952,4844) => Entail(4842,4844) 0.0 16
InQuestion(952,4842) & InQuestion(952,4845) => Entail(4842,4845) 0.0 18
InQuestion(952,4842) & InQuestion(952,4846) => Entail(4842,4846) 0.0 20
InQuestion(952,4842) & InQuestion(952,4847) => Entail(4842,4847) 0.0 22
InQuestion(952,4843) & InQuestion(952,4842) => Entail(4843,4842) 0.0 24
InQuestion(952,4843) & InQuestion(952,4843) => Entail(4843,4843) 1.0 26
InQuestion(952,4843) & InQuestion(952,4844) => Entail(4843,4844) 0.0 28
InQuestion(952,4843) & InQuestion(952,4845) => Entail(4843,4845) 0.0 30
InQuestion(952,4843) & InQuestion(952,4846) => Entail(4843,4846) 0.0 32
InQuestion(952,4843) & InQuestion(952,4847) => Entail(4843,4847) 0.0 34
InQuestion(952,4844) & InQuestion(952,4842) => Entail(4844,4842) *** 0.999971091747 36
InQuestion(952,4844) & InQuestion(952,4843) => Entail(4844,4843) 0.0 38
InQuestion(952,4844) & InQuestion(952,4844) => Entail(4844,4844) 1.0 40
InQuestion(952,4844) & InQuestion(952,4845) => Entail(4844,4845) 0.0 42
InQuestion(952,4844) & InQuestion(952,4846) => Entail(4844,4846) 0.0 44
InQuestion(952,4844) & InQuestion(952,4847) => Entail(4844,4847) 0.0 46
InQuestion(952,4845) & InQuestion(952,4842) => Entail(4845,4842) *** 0.959024071693 48
InQuestion(952,4845) & InQuestion(952,4843) => Entail(4845,4843) 0.0 50
InQuestion(952,4845) & InQuestion(952,4844) => Entail(4845,4844) 0.0 52
InQuestion(952,4845) & InQuestion(952,4845) => Entail(4845,4845) 1.0 54
InQuestion(952,4845) & InQuestion(952,4846) => Entail(4845,4846) 0.0 56
InQuestion(952,4845) & InQuestion(952,4847) => Entail(4845,4847) 0.0 58
InQuestion(952,4846) & InQuestion(952,4842) => Entail(4846,4842) 0.0 60
InQuestion(952,4846) & InQuestion(952,4843) => Entail(4846,4843) 0.0 62
InQuestion(952,4846) & InQuestion(952,4844) => Entail(4846,4844) 0.0 64
InQuestion(952,4846) & InQuestion(952,4845) => Entail(4846,4845) 0.0 66
InQuestion(952,4846) & InQuestion(952,4846) => Entail(4846,4846) 1.0 68
InQuestion(952,4846) & InQuestion(952,4847) => Entail(4846,4847) 0.0 70
InQuestion(952,4847) & InQuestion(952,4842) => Entail(4847,4842) *** 0.996617376804 72
InQuestion(952,4847) & InQuestion(952,4843) => Entail(4847,4843) 0.0 74
InQuestion(952,4847) & InQuestion(952,4844) => Entail(4847,4844) 0.0 76
InQuestion(952,4847) & InQuestion(952,4845) => Entail(4847,4845) 0.0 78
InQuestion(952,4847) & InQuestion(952,4846) => Entail(4847,4846) 0.0 80
InQuestion(952,4847) & InQuestion(952,4847) => Entail(4847,4847) 1.0 82
InQuestion(952,4842) & InQuestion(952,4842) => Contradict(4842,4842) 0.0 84
InQuestion(952,4842) & InQuestion(952,4843) => Contradict(4842,4843) 0.0 86
InQuestion(952,4842) & InQuestion(952,4844) => Contradict(4842,4844) 0.0 88
InQuestion(952,4842) & InQuestion(952,4845) => Contradict(4842,4845) *** 0.500886619091 90
InQuestion(952,4842) & InQuestion(952,4846) => Contradict(4842,4846) 0.0 92
InQuestion(952,4842) & InQuestion(952,4847) => Contradict(4842,4847) 0.0 94
InQuestion(952,4843) & InQuestion(952,4842) => Contradict(4843,4842) 0.0 96
InQuestion(952,4843) & InQuestion(952,4843) => Contradict(4843,4843) 0.0 98
InQuestion(952,4843) & InQuestion(952,4844) => Contradict(4843,4844) 0.0 100
InQuestion(952,4843) & InQuestion(952,4845) => Contradict(4843,4845) *** 0.510497510433 102
InQuestion(952,4843) & InQuestion(952,4846) => Contradict(4843,4846) 0.0 104
InQuestion(952,4843) & InQuestion(952,4847) => Contradict(4843,4847) 0.0 106
InQuestion(952,4844) & InQuestion(952,4842) => Contradict(4844,4842) 0.0 108
InQuestion(952,4844) & InQuestion(952,4843) => Contradict(4844,4843) *** 0.612594604492 110
InQuestion(952,4844) & InQuestion(952,4844) => Contradict(4844,4844) 0.0 112
